,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
244,,,,,,178.780944
245,26,DEN 0255-4700,16.2,0.07636704,0.09968011,307.964773
246,,,,,,166.7147684
247,27,2MASS J03185403-3421292 [de],45,0.046774812,0.09968011,1621.384789
248,,,,,,1669.384558
249,28,2MASS J03205965+1854233,47,0.084003744,0.11817745,108.6673128
250,,,,,,21.08201311
251,29,2MASS J03231002-4631237,192,0.021955524,0.17058658,17.16928491
252,,,,,,2.45E-10
253,30,SDSS J032553.17+042540.1,59,0.04295646,0.09762485,
254,,,,,,
255,31,2MASS J03264225-2102057 [de],80,0.017182584,0.1335919,
256,,,,,,
257,32,2MASS J03284265+2302051 [de],98,0.051547752,0.10070774,
258,,,,,,
259,33,2MASS J03341218-4953322,27,0.069684924,0.10687352,
260,,,,,,
261,34,LP 944-20,20.9,0.069684924,0.14695109,
262,,,,,,
263,35,2MASP J0345432+254023,88,0.070639512,0.10790115,
264,,,,,,
265,36,Teide 1,380,0.05250234,0.38844414,
266,,,,,,
267,37,2MASS J03510004-0052452,48,0.097367976,0.13050901,
268,,,,,,
269,38,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,
270,,,,,,
271,39,2MASS J04151954−0935066,18.6,0.02863764,0.09762485,
272,,,,,,
273,40,2MASS J04285096-2253227 [de],85,0.07636704,0.11201167,
274,,,,,,
275,41,2MASS J04351612-1606574,34,0.0954588,0.12948138,
276,,,,,,
277,42,2MASS J04362788-4114465,142,0.037228932,0.20244311,
278,,,,,,
279,43,2MASS J04390101-2353083 [de],29.5,0.045820224,0.09968011,
280,,,,,,
281,44,2MASS J04433764+0002040,82,0.021000936,0.18291814,
282,,,,,,
283,45,2MASS J04455387-3048204 [de],42,0.061093632,0.102763,
284,,,,,,
285,46,2MASS J04510093-3402150 [de],69,0.000992772,7.398936,
286,,,,,,
287,47,2MASS J05002100+0330501 [de],44,0.061093632,0.102763,
288,,,,,,
289,48,2MASS J05012406-0010452 [de],64,0.020046348,0.14181294,
290,,,,,,
291,49,2MASS J05160945-0445499 [de],73,0.044865636,0.09968011,
292,,,,,,
293,50,2MASS J0523−1403,40,0.064911984,0.10379063,
294,,,,,,
295,51,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,
296,,,,,,
297,52,LSR 0602+3910 [de],34.6,0.026728464,0.14489583,
298,,,,,,
299,53,2MASS J06085283-2753583,102,0.036274344,0.15517213,
300,,,,,,
301,54,2MASS J06244595-4521548 [de],39,0.053456928,0.10173537,
302,,,,,,
303,55,2MASS J06411840-4322329 [de],65,0.063957396,0.10379063,
304,,,,,,
305,56,DENIS-P J0652197-253450 [de],51,0.0715941,0.10790115,
306,,,,,,
307,57,2MASS J07075327-4900503,60,0.068730336,0.10584589,
308,,,,,,
309,58,UGPS J072227.51-054031.2,13.4,0.024819288,0.10070774,
310,,,,,,
311,59,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659722,
312,,,,,,
313,60,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659722,
314,,,,,,
